region,region_display,year_to,n_total_changes,n_gdp_expansions,n_absolute_decoupling,n_relative_decoupling,n_coupled_expansion,n_any_decoupling,share_gdp_expansion_of_all_changes,share_absolute_of_expansions,share_relative_of_expansions,share_coupled_of_expansions,share_any_decoupling_of_expansions,mean_gdp_change_pct_during_expansions,median_gdp_change_pct_during_expansions,mean_co2_change_pct_during_expansions,median_co2_change_pct_during_expansions,population_weighted_share_absolute,population_weighted_share_relative,population_weighted_share_coupled,population_weighted_share_any_decoupling
Global_South,Global South,2007,142,120,32,36,52,68,0.8450704225352113,0.26666666666666666,0.3,0.43333333333333335,0.5666666666666667,4.683670522979914,4.095119050042939,4.717701814955434,3.45449350148046,0.15502083172554224,0.49787390271445114,0.3471052655600066,0.6528947344399934
Global_South,Global South,2008,143,111,51,18,42,69,0.7762237762237763,0.4594594594594595,0.16216216216216217,0.3783783783783784,0.6216216216216216,3.890745155528235,3.57942621491385,2.0116486338911748,0.7605044457347665,0.3968152894455051,0.19716627189680064,0.4060184386576942,0.5939815613423057
Global_South,Global South,2009,143,64,29,12,23,41,0.44755244755244755,0.453125,0.1875,0.359375,0.640625,3.6402244455363055,3.1303745390657944,3.800579933366094,0.7480852505152291,0.4662151395778416,0.21724559060592594,0.3165392698162324,0.6834607301837675
Global_South,Global South,2010,143,116,34,27,55,61,0.8111888111888111,0.29310344827586204,0.23275862068965517,0.47413793103448276,0.5258620689655172,4.326633630056375,4.007410145924862,4.432475830990721,3.8498082192702565,0.17689944889014428,0.2235606378429805,0.5995399132668752,0.4004600867331248
Global_South,Global South,2011,143,112,39,23,50,62,0.7832167832167832,0.3482142857142857,0.20535714285714285,0.44642857142857145,0.5535714285714286,4.179460419017988,3.6091321379726593,3.53440895358142,3.339599508599922,0.2778149482988675,0.18519904972048296,0.5369860019806496,0.46301399801935045
Global_South,Global South,2012,142,107,39,16,52,55,0.7535211267605634,0.3644859813084112,0.14953271028037382,0.48598130841121495,0.514018691588785,4.535127047889739,3.4540636116038304,5.491057257040422,2.376445893716461,0.43800931708096297,0.09830411933287458,0.4636865635861624,0.5363134364138376
Global_South,Global South,2013,142,107,36,23,48,59,0.7535211267605634,0.3364485981308411,0.21495327102803738,0.4485981308411215,0.5514018691588785,3.4185826487114603,2.9546606175452794,3.2314232084412766,2.1452631356174257,0.2526235715095821,0.25227670381664574,0.49509972467377217,0.5049002753262278
Global_South,Global South,2014,143,112,33,15,64,48,0.7832167832167832,0.29464285714285715,0.13392857142857142,0.5714285714285714,0.42857142857142855,2.961895529333891,2.7239935469371757,3.0675783544642914,3.7558900306692067,0.2110797730797992,0.10007883177149708,0.6888413951487037,0.31115860485129626
Global_South,Global South,2015,143,103,29,20,54,49,0.7202797202797203,0.2815533980582524,0.1941747572815534,0.5242718446601942,0.47572815533980584,2.8452674033020062,2.6597178531839294,4.586716709041127,2.6954347969276204,0.18627686193607734,0.32317960640603033,0.49054353165789233,0.5094564683421077
Global_South,Global South,2016,143,105,28,17,60,45,0.7342657342657343,0.26666666666666666,0.1619047619047619,0.5714285714285714,0.42857142857142855,3.3023610654989306,2.7389601503705396,5.3777816758299215,4.158861358438259,0.24465924669545613,0.12713903787361897,0.628201715430925,0.3717982845690751
Global_South,Global South,2017,143,109,49,19,41,68,0.7622377622377622,0.44954128440366975,0.1743119266055046,0.3761467889908257,0.6238532110091743,4.03233860986981,2.744408885210192,1.3777139286402207,0.4990791573351361,0.2549321906755213,0.1004835907161765,0.6445842186083022,0.35541578139169777
Global_South,Global South,2018,143,104,39,18,47,57,0.7272727272727273,0.375,0.17307692307692307,0.4519230769230769,0.5480769230769231,2.996569785856221,2.540316685964372,4.287729889729323,1.8217160908500452,0.46084246796371675,0.15715259570936463,0.3820049363269186,0.6179950636730813
Global_South,Global South,2019,142,101,34,19,48,53,0.7112676056338029,0.33663366336633666,0.18811881188118812,0.4752475247524752,0.5247524752475248,3.0490756436276105,2.7425753035644096,4.470197596075534,2.7609365416313425,0.40099449838698975,0.25012742888254175,0.34887807273046856,0.6511219272695314
Global_South,Global South,2020,142,19,6,5,8,11,0.13380281690140844,0.3157894736842105,0.2631578947368421,0.42105263157894735,0.5789473684210527,5.503931832864366,1.9158143477215672,3.144108083724078,2.1879739873716053,0.424197706674179,0.14345316893181148,0.4323491243940095,0.5676508756059905
Global_South,Global South,2021,142,109,25,28,56,53,0.7676056338028169,0.22935779816513763,0.25688073394495414,0.5137614678899083,0.48623853211009177,5.842331980849253,3.873432597681825,6.294314435063149,5.232763807635621,0.16771995619567168,0.22001734409006413,0.6122626997142642,0.3877373002857358
Global_South,Global South,2022,142,119,38,43,38,81,0.8380281690140845,0.31932773109243695,0.36134453781512604,0.31932773109243695,0.680672268907563,5.127064215682604,3.5845353140039338,3.059968760225531,1.7616525118196336,0.4346703063892408,0.276044708579859,0.28928498503090017,0.7107150149690998
Global_South,Global South,2023,137,108,55,26,27,81,0.7883211678832117,0.5092592592592593,0.24074074074074073,0.25,0.75,3.4998256487406563,2.6555266855890824,-0.2336221874201821,-0.01454761211301947,0.47285492383722394,0.17742386145701242,0.34972121470576367,0.6502787852942363
